recd,NetID,Brand,Age.f,Status.i,PHI.i,Status.f,PHI.f,Damage_related
102,J101,Dawaplus 2.0,6,New,0,Used last night,0,No
103,J102,Dawaplus 2.0,6,New,0,Used last night,NA,No
104,J103,Dawaplus 2.0,6,New,0,Used last night,NA,No
105,J104,Dawaplus 2.0,6,New,0,Not used last night,NA,No
106,J105,Dawaplus 2.0,6,New,0,Not used last night,NA,No
107,J106,Dawaplus 2.0,6,New,0,Not in use,NA,No
108,J107,Dawaplus 2.0,6,New,0,Not in use,NA,No
109,J108,Dawaplus 2.0,6,New,0,Used last night,NA,No
110,J109,Dawaplus 2.0,6,New,0,Used last night,NA,No
111,J110,Dawaplus 2.0,6,New,0,Not in use,NA,No
112,J111,Dawaplus 2.0,6,New,0,Not in use,NA,No
113,J112,Dawaplus 2.0,6,New,0,Not in use,NA,No
114,J113,Dawaplus 2.0,6,New,0,Not in use,NA,No
115,J114,Dawaplus 2.0,6,New,0,Not in use,NA,No
116,J115,Dawaplus 2.0,6,New,0,Used last night,NA,No
117,J116,Dawaplus 2.0,6,New,0,Not in use,NA,No
119,J118,Dawaplus 2.0,6,New,0,Not used last night,NA,No
120,J119,Dawaplus 2.0,6,New,0,Not in use,0,No
121,J120,Dawaplus 2.0,6,New,0,Used last night,NA,No
122,J121,Dawaplus 2.0,6,New,0,Used last night,NA,No
123,J122,Dawaplus 2.0,6,New,0,Not in use,NA,No
124,J123,Dawaplus 2.0,6,New,0,Used last night,NA,No
125,J124,Dawaplus 2.0,6,New,0,Not in use,NA,No
126,J125,Dawaplus 2.0,6,New,0,Used last night,NA,No
127,J126,Dawaplus 2.0,6,New,0,Used last night,NA,No
128,J127,Dawaplus 2.0,6,New,0,Used last night,NA,No
129,J128,Dawaplus 2.0,6,New,0,Not used last night,NA,No
130,J129,Dawaplus 2.0,6,New,0,Not in use,NA,No
131,J130,Dawaplus 2.0,6,New,0,Used last night,NA,No
132,J131,Dawaplus 2.0,6,New,0,Used last night,NA,No
133,J132,Dawaplus 2.0,6,New,0,Not used last night,NA,No
134,J133,Dawaplus 2.0,6,New,0,Not used last night,NA,No
135,J134,Dawaplus 2.0,6,New,0,Used last night,NA,No
136,J135,Dawaplus 2.0,6,New,0,Not in use,NA,No
137,J136,Dawaplus 2.0,6,New,0,Used last night,NA,No
138,J137,Dawaplus 2.0,6,New,0,Used last night,NA,No
139,J138,Dawaplus 2.0,6,New,0,Used last night,NA,No
