"","S_1","S_2","S_3","S_4","A","Month"
"1",1,0,0,0,0,0.012
"2",0.99616122,0.001127666,0.002664783,0,4.6331e-05,0.024
"3",0.992346487624571,0.00224923425047049,0.00530670023055852,3.9921485624934e-06,9.3585745837786e-05,0.036
"4",0.988555630661674,0.00336474379668182,0.00792592420159207,1.1943136123161e-05,0.000141758203928709,0.048
"5",0.984788478163148,0.0044742334087472,0.0105226261460769,2.38198986681578e-05,0.000190842383359754,0.06
"6",0.981044860435391,0.00557774158362481,0.0130969760294724,3.95896159342787e-05,0.000240832335577751,0.072
"7",0.977324609030118,0.00667530654710527,0.0156491425590741,5.92197096223601e-05,0.000291722154079894,0.084
"8",0.973627556735186,0.00776696625578453,0.0181792931932992,8.26778416238221e-05,0.000343505974106519,0.096
"9",0.969953537565479,0.00885275839902216,0.020687594150902,0.000109931912260252,0.000396177972336164,0.108
"10",0.966302386753873,0.00993272040088541,0.0231742104201224,0.000140950058535934,0.000449732366582854,0.12
"11",0.962673940742256,0.0110068894220788,0.0256393057677664,0.000175700652403233,0.000504163415495628,0.132
"12",0.959068037172619,0.0120753023618597,0.0280830427482203,0.00021415229904073,0.000559465418260269,0.144
"13",0.955484514878216,0.0131379958599399,0.0305055827123973,0.00025627383514402,0.000615632714303235,0.156
"14",0.951923213874781,0.0141950062983728,0.0329070858166193,0.000302034327229089,0.000672659682997761,0.168
"15",0.94838397535182,0.0152463698034272,0.0352877110314322,0.00035140306994815,0.000730540743372133,0.18
"16",0.944866641663958,0.0162921222474473,0.0376476161503572,0.000404349584417878,0.000789270353820105,0.192
"17",0.941371056322352,0.0173322992506987,0.0399869577985762,0.000460843616559935,0.000848843011813441,0.204
"18",0.937897063986174,0.0183669361832009,0.0423058914415546,0.00052085513545369,0.000909253253616585,0.216
"19",0.934444510454149,0.0193960681665469,0.0446045713935995,0.000584354331701065,0.000970495654003419,0.228
"20",0.931013242656157,0.0204197300757088,0.0468831508263552,0.000651311615803392,0.00103256482597611,0.24
"21",0.927603108644898,0.02143795654083,0.0491417817772357,0.000721697616550211,0.00109545542048604,0.252
"22",0.924213957587622,0.0224507819490055,0.0513806151577956,0.000795483179419918,0.00115916212615673,0.264
"23",0.920845639757914,0.023458240446047,0.0535998007620385,0.000872639364992165,0.00122367966900893,0.276
"24",0.917498006527538,0.0244603659382374,0.0557994872746649,0.00095313744737194,0.00128900281218755,0.288
"25",0.914170910358355,0.0254571920940706,0.0579798222792586,0.00103694891262523,0.0013551263556908,0.3
"26",0.910864204794281,0.0264487523459794,0.060140952266413,0.00112404545722619,0.00142204513610114,0.312
"27",0.907577744453318,0.0274350798920504,0.0622830226417976,0.00121439898651571,0.00148975402631834,0.324
"28",0.904311385019643,0.0284162076977266,0.0644061777341648,0.00130798161317137,0.00155824793529446,0.336
"29",0.901064983235746,0.0293921684974972,0.0665105608032975,0.00140476565568857,0.00162752180777074,0.348
"30",0.897838396894637,0.0303629947965751,0.0685963140478986,0.00150472363687286,0.00169757062401651,0.36
"31",0.894631484832103,0.0313287188725621,0.0706635786134219,0.00160782828234339,0.00176838939956994,0.372
"32",0.891444106919025,0.032289372777102,0.0727124945998451,0.00171405251904728,0.00183997318498075,0.384
"33",0.888276124053753,0.0332449883375212,0.074743201069386,0.00182336947378503,0.00191231706555478,0.396
"34",0.885127398154534,0.0341955971584575,0.0767558360541612,0.00193575247174663,0.00198541616110047,0.408
"35",0.881997792151998,0.0351412306234772,0.0787505365637887,0.00205117503505854,0.00205926562567717,0.42
"36",0.878887169981699,0.0360819198966798,0.0807274385929345,0.00216961088134131,0.00213386064734536,0.432
"37",0.875795396576709,0.037017695924291,0.0826866771288032,0.00229103392227782,0.00220919644791862,0.444
"38",0.872722337860273,0.0379485894362448,0.0846283861585732,0.002415418262192,0.00228526828271749,0.456
"39",0.869667860738506,0.0388746309477527,0.0865526986767779,0.00254273819663807,0.00236207144032516,0.468
"40",0.866631833093161,0.0397958507608624,0.0884597466926315,0.00267296821100009,0.00243960124234487,0.48
"41",0.863614123774433,0.0407122789660046,0.0903496612373016,0.00280608297910182,0.00251785304315917,0.492
"42",0.860614602593827,0.0416239454435285,0.0922225723711271,0.00294205736182683,0.00259682222969094,0.504
"43",0.857633140317075,0.0425308798652261,0.0940786091907841,0.0030808664057487,0.00267650422116611,0.516
"44",0.854669608657107,0.0434331116958456,0.0959178998363981,0.00322248534177133,0.00275689446887825,0.528
