,Country,NetCode,NetID,Brand,Status.12,Status.24,Status.6,Status.18,Status.48,Status.30,Status.42,,
9926,Zambia,10306,10306,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7580,Zambia,10307,10307,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7809,Zambia,10308,10308,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7810,Zambia,10309,10309,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7962,Zambia,10310,10310,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7963,Zambia,10311,10311,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7581,Zambia,10312,10312,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
9927,Zambia,10313,10313,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
9928,Zambia,10314,10314,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7312,Zambia,10315,10315,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7811,Zambia,10316,10316,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
7582,Zambia,10317,10317,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
7812,Zambia,10318,10318,Olyset,LastNight,LastNight,NA,NotLastNight,NA,Attrited,NA,,
7964,Zambia,10319,10319,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
7583,Zambia,10320,10320,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
7313,Zambia,10321,10321,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
9929,Zambia,10322,10322,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NA,NA,,
8001,Zambia,10323,10323,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
9930,Zambia,10324,10324,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
9931,Zambia,10325,10325,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
9932,Zambia,10401,10401,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
9933,Zambia,10402,10402,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
8059,Zambia,10403,10403,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
11670,Zambia,10404,10404,Olyset,NotLastNight,Removed,NA,NotLastNight,NA,NA,NA,,
7584,Zambia,10405,10405,Olyset,LastNight,Unclear,NA,NotLastNight,NA,NA,NA,,
9934,Zambia,10406,10406,Olyset,LastNight,Unclear,NA,NotLastNight,NA,NA,NA,,
