,Country,NetCode,NetID,Brand,Status.12,Status.24,Status.6,Status.18,Status.48,Status.30,Status.42,,
19207,Benin,42/KCH,42/KCH,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1010,Benin,42/KCHD141,42/KCH,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
19403,Benin,42/KEF,42/KEF,Olyset,NA,NA,Attrited,NA,NA,NA,NA,,
1011,Benin,42/KES,42/KES,Olyset,NotLastNight,NA,NotLastNight,Removed,NA,NA,NA,,
19208,Benin,42/KOD,42/KOD,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1012,Benin,42/KODA041,42/KOD,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
14647,Benin,42/KOT,42/KOT,Olyset,NA,LastNight,NA,NA,NA,NA,NA,,
1013,Benin,42/KOTD041,42/KOT,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19705,Benin,42/KSK,42/KSK,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1014,Benin,42/KSKC441,42/KSK,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1016,Benin,42/PED,42/PED,Olyset,LastNight,NA,NA,NotLastNight,NA,NA,NA,,
1015,Benin,42/PEDC341,42/PED,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19209,Benin,42/TOK,42/TOK,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
1017,Benin,42/TOKB441,42/TOK,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
1019,Benin,42/WOY,42/WOY,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
1018,Benin,42/WOYD241,42/WOY,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19706,Benin,42B/DOG,42B/DO,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1020,Benin,42B/TOKB440,42B/TO,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19210,Benin,43/AHI,43/AHI,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
1021,Benin,43/AHIB092,43/AHI,Olyset,NotUse,NA,NotLastNight,NotLastNight,NA,NA,NA,,
1023,Benin,43/ALO,43/ALO,Olyset,NotLastNight,NA,NA,NotLastNight,NA,NA,NA,,
1022,Benin,43/ALOB042,43/ALO,Olyset,NA,NotLastNight,NotLastNight,NA,NA,NA,NA,,
1026,Benin,43/DAM,43/DAM,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1024,Benin,43/DAMC042,43/DAM,Olyset,LastNight,NA,NotLastNight,NA,NA,NA,NA,,
1025,Benin,43/DAMC043,43/DAM,Olyset,NA,NA,NA,NotLastNight,NA,NA,NA,,
19707,Benin,43/DOG,43/DOG,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1027,Benin,43/DOGB242,43/DOG,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19211,Benin,43/DON,43/DON,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1028,Benin,43/DONB342,43/DON,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19708,Benin,43/GAL,43/GAL,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1029,Benin,43/GBOB142,43/GBO,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
19509,Benin,43/GLA,43/GLA,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
1031,Benin,43/GLL,43/GLL,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1030,Benin,43/GLLD442,43/GLL,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
1032,Benin,43/GSSC142,43/GSS,Olyset,LastNight,NA,NA,NotLastNight,NA,NA,NA,,
1033,Benin,43/HS,43/HS,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
15189,Benin,43/HSA367,43/HSA,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
19212,Benin,43/HSZ,43/HSZ,Olyset,NA,NA,Attrited,NA,NA,NA,NA,,
1035,Benin,43/KCH,43/KCH,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1034,Benin,43/KCHD142,43/KCH,Olyset,LastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19510,Benin,43/KEF,43/KEF,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
19511,Benin,43/KES,43/KES,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
19213,Benin,43/KOD,43/KOD,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1036,Benin,43/KODA042,43/KOD,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1038,Benin,43/KOT,43/KOT,Olyset,NotLastNight,NotLastNight,NA,NA,NA,NA,NA,,
1037,Benin,43/KOTD042,43/KOT,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1040,Benin,43/KSK,43/KSK,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
1039,Benin,43/KSKC442,43/KSK,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1042,Benin,43/PED,43/PED,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1041,Benin,43/PEDC342,43/PED,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19709,Benin,43/TOK,43/TOK,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1043,Benin,43/TOKB442,43/TOK,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1044,Benin,43/WOY,43/WOY,Olyset,Attrited,NA,NotLastNight,NA,NA,NA,NA,,
19214,Benin,44/AHI,44/AHI,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
1045,Benin,44/AHIB093,44/AHI,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19215,Benin,44/ALO,44/ALO,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1046,Benin,44/ALOB043,44/ALO,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1047,Benin,44/DAM,44/DAM,Olyset,LastNight,Removed,NA,NotLastNight,NA,NA,NA,,
1048,Benin,44/DOD,44/DOD,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1050,Benin,44/DOG,44/DOG,Olyset,NotLastNight,NA,NA,NotLastNight,NA,NA,NA,,
1049,Benin,44/DOGB243,44/DOG,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19404,Benin,44/DON,44/DON,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
19710,Benin,44/GAL,44/GAL,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
12147,Benin,44/GALD343,44/GAL,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
1052,Benin,44/GBO,44/GBO,Olyset,NotLastNight,NotLastNight,NA,LastNight,NA,NA,NA,,
1051,Benin,44/GBOB143,44/GBO,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19216,Benin,44/GLA,44/GLA,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1053,Benin,44/GLAA478,44/GLA,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19711,Benin,44/GLL,44/GLL,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1054,Benin,44/GLLD443,44/GLL,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19712,Benin,44/GSS,44/GSS,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1055,Benin,44/GSSC143,44/GSS,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19713,Benin,44/HS,44/HS,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1056,Benin,44/HSA368,44/HSA,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1057,Benin,44/HSZ,44/HSZ,Olyset,NA,Attrited,NotLastNight,NotLastNight,NA,NA,NA,,
1058,Benin,44/HZS,44/HZS,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
19512,Benin,44/KCH,44/KCH,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
1059,Benin,44/KEFC243,44/KEF,Olyset,NA,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
1060,Benin,44/KES,44/KES,Olyset,NotLastNight,NA,NotLastNight,Removed,NA,NA,NA,,
1062,Benin,44/KOD,44/KOD,Olyset,LastNight,NotLastNight,NA,LastNight,NA,NA,NA,,
1061,Benin,44/KODA043,44/KOD,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1063,Benin,44/KOTD043,44/KOT,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
1064,Benin,44/KSKC443,44/KSK,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
19217,Benin,44/PED,44/PED,Olyset,NA,NA,Attrited,NA,NA,NA,NA,,
1066,Benin,44/TOK,44/TOK,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1065,Benin,44/TOKB443,44/TOK,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19358,Benin,44/WOY,44/WOY,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1067,Benin,44B/ALOB044,44B/AL,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
1068,Benin,45/AHIB094,45/AHI,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
19218,Benin,45/ALO,45/ALO,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
1069,Benin,45/ALOB044,45/ALO,Olyset,NA,NA,NotLastNight,LastNight,NA,NA,NA,,
19219,Benin,45/DAM,45/DAM,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
19714,Benin,45/DOG,45/DOG,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1070,Benin,45/DOGB244,45/DOG,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19220,Benin,45/DON,45/DON,Olyset,NA,NA,Attrited,NA,NA,NA,NA,,
19221,Benin,45/GAL,45/GAL,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1071,Benin,45/GALD344,45/GAL,Olyset,LastNight,NA,NotLastNight,NA,NA,NA,NA,,
1074,Benin,45/GBO,45/GBO,Olyset,NA,Removed,NA,NotLastNight,NA,NA,NA,,
1073,Benin,45/GBOB144,45/GBO,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
1072,Benin,45/GBOB145,45/GBO,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1075,Benin,45/GLA,45/GLA,Olyset,NotLastNight,Attrited,NotLastNight,NotLastNight,NA,NA,NA,,
19222,Benin,45/GLL,45/GLL,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
19715,Benin,45/GSS,45/GSS,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1076,Benin,45/GSSC144,45/GSS,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1077,Benin,45/HSA369,45/HSA,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
19716,Benin,45/HSZ,45/HSZ,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1078,Benin,45/HSZA314,45/HSZ,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19359,Benin,45/HZS,45/HZS,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
19223,Benin,45/KCH,45/KCH,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1079,Benin,45/KCHD144,45/KCH,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1080,Benin,45/KEFC244,45/KEF,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
1081,Benin,45/KES,45/KES,Olyset,NotLastNight,LastNight,NotLastNight,NotLastNight,NA,NA,NA,,
19717,Benin,45/KOD,45/KOD,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1082,Benin,45/KODA044,45/KOD,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
14670,Benin,45/KOT,45/KOT,Olyset,NA,LastNight,NA,NA,NA,NA,NA,,
1083,Benin,45/KOTD044,45/KOT,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
1085,Benin,45/KSK,45/KSK,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1084,Benin,45/KSKC444,45/KSK,Olyset,NotLastNight,NA,NotLastNight,LastNight,NA,NA,NA,,
1086,Benin,45/PEDC344,45/PED,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
19224,Benin,45/TOK,45/TOK,Olyset,NA,Attrited,NA,Attrited,NA,NA,NA,,
1087,Benin,45/TOKB444,45/TOK,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1088,Benin,45/WOY,45/WOY,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
19225,Benin,45B/HS,45B/HS,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
19718,Benin,46/AHI,46/AHI,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1089,Benin,46/AHIB095,46/AHI,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1091,Benin,46/ALO,46/ALO,Olyset,NA,Attrited,NA,NotLastNight,NA,NA,NA,,
1090,Benin,46/ALOB045,46/ALO,Olyset,NotLastNight,NA,LastNight,NA,NA,NA,NA,,
1093,Benin,46/DAM,46/DAM,Olyset,NA,NA,NA,NotLastNight,NA,NA,NA,,
1092,Benin,46/DAMC045,46/DAM,Olyset,NotLastNight,NotLastNight,LastNight,NA,NA,NA,NA,,
19360,Benin,46/DOG,46/DOG,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1095,Benin,46/DON,46/DON,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1094,Benin,46/DONB345,46/DON,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
19226,Benin,46/GAL,46/GAL,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1096,Benin,46/GALD345,46/GAL,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
14407,Benin,46/GBOB145,46/GBO,Olyset,NA,NA,NA,LastNight,NA,NA,NA,,
15074,Benin,46/GLA,46/GLA,Olyset,NA,NA,NA,LastNight,NA,NA,NA,,
1097,Benin,46/GLAA480,46/GLA,Olyset,NotLastNight,LastNight,NotLastNight,NA,NA,NA,NA,,
1098,Benin,46/GLLD445,46/GLL,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1099,Benin,46/GSSC145,46/GSS,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
19227,Benin,46/HS,46/HS,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
14395,Benin,46/HSA370,46/HSA,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
1100,Benin,46/HSZA315,46/HSZ,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
19228,Benin,46/KCH,46/KCH,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1101,Benin,46/KCHD145,46/KCH,Olyset,LastNight,NA,NotLastNight,NA,NA,NA,NA,,
19719,Benin,46/KEF,46/KEF,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1102,Benin,46/KEFC245,46/KEF,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1104,Benin,46/KES,46/KES,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
1103,Benin,46/KESA200,46/KES,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1106,Benin,46/KOD,46/KOD,Olyset,NotLastNight,NA,NA,NotLastNight,NA,NA,NA,,
1105,Benin,46/KODA045,46/KOD,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1108,Benin,46/KOT,46/KOT,Olyset,NotLastNight,NotLastNight,NA,NA,NA,NA,NA,,
1107,Benin,46/KOTD045,46/KOT,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1109,Benin,46/KSKC445,46/KSK,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
14671,Benin,46/PED,46/PED,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
1110,Benin,46/PEDC345,46/PED,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1111,Benin,46/TOK,46/TOK,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19229,Benin,46/WOY,46/WOY,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
1112,Benin,46/WOYD245,46/WOY,Olyset,LastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19405,Benin,47/AHI,47/AHI,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
14408,Benin,47/AHIB096,47/AHI,Olyset,NA,NA,NA,LastNight,NA,NA,NA,,
1113,Benin,47/ALO,47/ALO,Olyset,Removed,NA,NotLastNight,NA,NA,NA,NA,,
19230,Benin,47/DAM,47/DAM,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1114,Benin,47/DAMC046,47/DAM,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1115,Benin,47/DOG,47/DOG,Olyset,Removed,NA,NotLastNight,NA,NA,NA,NA,,
19513,Benin,47/DON,47/DON,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
1116,Benin,47/GAL,47/GAL,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
15173,Benin,47/GALD346,47/GAL,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
1117,Benin,47/GBO,47/GBO,Olyset,NotLastNight,NA,NA,LastNight,NA,NA,NA,,
1119,Benin,47/GLA,47/GLA,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
1118,Benin,47/GLAA481,47/GLA,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19231,Benin,47/GLL,47/GLL,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1120,Benin,47/GLLD446,47/GLL,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1122,Benin,47/GSS,47/GSS,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
1121,Benin,47/GSSC146,47/GSS,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1123,Benin,47/HSA371,47/HSA,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1124,Benin,47/HSZ,47/HSZ,Olyset,NA,NA,NotLastNight,Attrited,NA,NA,NA,,
19720,Benin,47/HZS,47/HZS,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1125,Benin,47/KCH,47/KCH,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
12792,Benin,47/KCHD146,47/KCH,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
19721,Benin,47/KEF,47/KEF,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
12131,Benin,47/KEFC246,47/KEF,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
12793,Benin,47/KES,47/KES,Olyset,Attrited,NA,LastNight,NA,NA,NA,NA,,
1126,Benin,47/KOD,47/KOD,Olyset,NA,NA,NotLastNight,NotLastNight,NA,NA,NA,,
1127,Benin,47/KOTD046,47/KOT,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
15075,Benin,47/KSK,47/KSK,Olyset,NA,NA,NA,LastNight,NA,NA,NA,,
1128,Benin,47/KSKC446,47/KSK,Olyset,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,NA,,
14672,Benin,47/PED,47/PED,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
1129,Benin,47/PEDC346,47/PED,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1130,Benin,47/TOK,47/TOK,Olyset,NotLastNight,NA,NotLastNight,Removed,NA,NA,NA,,
1132,Benin,47/WOY,47/WOY,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
1131,Benin,47/WOYD247,47/WOY,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
13569,Benin,48/AHI,48/AHI,Olyset,NA,LastNight,NA,LastNight,NA,NA,NA,,
1133,Benin,48/AHIB097,48/AHI,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
19722,Benin,48/ALO,48/ALO,Olyset,NA,Removed,NA,NA,NA,NA,NA,,
1134,Benin,48/ALOB047,48/ALO,Olyset,LastNight,NA,NotLastNight,NA,NA,NA,NA,,
1136,Benin,48/DAM,48/DAM,Olyset,NotLastNight,NotLastNight,NA,LastNight,NA,NA,NA,,
1135,Benin,48/DAMC047,48/DAM,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19723,Benin,48/DOG,48/DOG,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
17907,Benin,48/DOGB247,48/DOG,Olyset,LastNight,NA,LastNight,NA,NA,NA,NA,,
13570,Benin,48/DONB347,48/DON,Olyset,NA,LastNight,LastNight,NA,NA,NA,NA,,
19724,Benin,48/GAL,48/GAL,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1137,Benin,48/GALD347,48/GAL,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1138,Benin,48/GBO,48/GBO,Olyset,NotLastNight,Removed,NA,NotLastNight,NA,NA,NA,,
1139,Benin,48/GLA,48/GLA,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
1141,Benin,48/GLL,48/GLL,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
1140,Benin,48/GLLD447,48/GLL,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1143,Benin,48/GSS,48/GSS,Olyset,NA,Attrited,NA,NotLastNight,NA,NA,NA,,
1142,Benin,48/GSSC147,48/GSS,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1144,Benin,48/HS,48/HS,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
14396,Benin,48/HSA372,48/HSA,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
19406,Benin,48/HSZ,48/HSZ,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1145,Benin,48/HSZA317,48/HSZ,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19232,Benin,48/HZS,48/HZS,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1146,Benin,48/KCH,48/KCH,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
12794,Benin,48/KCHD147,48/KCH,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
19233,Benin,48/KEF,48/KEF,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1147,Benin,48/KEFC247,48/KEF,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
15190,Benin,48/KES,48/KES,Olyset,Removed,NA,LastNight,NA,NA,NA,NA,,
1148,Benin,48/KOD,48/KOD,Olyset,Attrited,NA,NotLastNight,NA,NA,NA,NA,,
19514,Benin,48/KOT,48/KOT,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
1149,Benin,48/KSK,48/KSK,Olyset,Removed,NA,NotLastNight,NA,NA,NA,NA,,
19234,Benin,48/PED,48/PED,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1150,Benin,48/PEDC347,48/PED,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1152,Benin,48/TOK,48/TOK,Olyset,NA,NA,NA,NotLastNight,NA,NA,NA,,
1151,Benin,48/TOKB447,48/TOK,Olyset,NotLastNight,NotLastNight,NA,NA,NA,NA,NA,,
19725,Benin,48/WOY,48/WOY,Olyset,NA,NA,NA,Removed,NA,NA,NA,,
1153,Benin,48/WOYD247,48/WOY,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1154,Benin,49/AHIB098,49/AHI,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
19726,Benin,49/ALO,49/ALO,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1155,Benin,49/ALOB048,49/ALO,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19235,Benin,49/DAM,49/DAM,Olyset,NA,NA,NA,Attrited,NA,NA,NA,,
1156,Benin,49/DAMC048,49/DAM,Olyset,NotLastNight,NA,NotLastNight,NA,NA,NA,NA,,
1157,Benin,49/DODB248,49/DOD,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1158,Benin,49/DOGB248,49/DOG,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19515,Benin,49/DON,49/DON,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
1159,Benin,49/GALD348,49/GAL,Olyset,NotLastNight,NA,LastNight,NA,NA,NA,NA,,
19727,Benin,49/GBO,49/GBO,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1160,Benin,49/GBOB148,49/GBO,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1161,Benin,49/GLA,49/GLA,Olyset,Attrited,NA,NotLastNight,NA,NA,NA,NA,,
1162,Benin,49/GLL,49/GLL,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
19361,Benin,49/GSS,49/GSS,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
1163,Benin,49/GSSC148,49/GSS,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1164,Benin,49/HSA373,49/HSA,Olyset,NotUse,NA,NotLastNight,NA,NA,NA,NA,,
1165,Benin,49/HSZ,49/HSZ,Olyset,NA,NA,NotLastNight,Attrited,NA,NA,NA,,
19236,Benin,49/HZS,49/HZS,Olyset,Attrited,NA,NA,NA,NA,NA,NA,,
1167,Benin,49/KCH,49/KCH,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
1166,Benin,49/KCHD148,49/KCH,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1169,Benin,49/KEF,49/KEF,Olyset,NA,Attrited,NA,NotLastNight,NA,NA,NA,,
1168,Benin,49/KEFC248,49/KEF,Olyset,LastNight,NA,NotLastNight,NA,NA,NA,NA,,
1171,Benin,49/KES,49/KES,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
1170,Benin,49/KESA203,49/KES,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
1172,Benin,49/KOD,49/KOD,Olyset,NotLastNight,NotLastNight,NotLastNight,NotLastNight,NA,NA,NA,,
1173,Benin,49/KOTD048,49/KOT,Olyset,NotLastNight,NA,LastNight,NA,NA,NA,NA,,
1175,Benin,49/KSK,49/KSK,Olyset,NA,NotLastNight,NA,NA,NA,NA,NA,,
1174,Benin,49/KSKC448,49/KSK,Olyset,NotLastNight,NA,NotLastNight,NotLastNight,NA,NA,NA,,
19728,Benin,49/PED,49/PED,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
15174,Benin,49/PEDC348,49/PED,Olyset,NA,NA,LastNight,NA,NA,NA,NA,,
1176,Benin,49/TOK,49/TOK,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
1179,Benin,49/WOY,49/WOY,Olyset,NA,NotLastNight,NA,NotLastNight,NA,NA,NA,,
1178,Benin,49/WOYD244,49/WOY,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
1177,Benin,49/WOYD248,49/WOY,Olyset,NA,NA,NotLastNight,NA,NA,NA,NA,,
19516,Benin,5/AHI,5/AHI,Olyset,NA,NA,Removed,NA,NA,NA,NA,,
19729,Benin,5/ALO,5/ALO,Olyset,NA,Removed,NA,NA,NA,NA,NA,,
