"","Country","NetCode","Brand","Round","Status","PHI","Damage_related","Wash","WashFreq","Bedding","Reason","Location"
"21200","Kenya","P257","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21201","Kenya","P258","PermaNet 3.0",42,"Used last night",2185,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21202","Kenya","P261","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21203","Kenya","P262","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21204","Kenya","P262","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21205","Kenya","P263","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21206","Kenya","P263","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21207","Kenya","P266","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21208","Kenya","P266","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21209","Kenya","P266","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21210","Kenya","P266","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21211","Kenya","P266","PermaNet 3.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21212","Kenya","P267","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21213","Kenya","P267","PermaNet 3.0",36,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21214","Kenya","P269","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21215","Kenya","P269","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21216","Kenya","P269","PermaNet 3.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21217","Kenya","P271","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21218","Kenya","P271","PermaNet 3.0",18,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21219","Kenya","P272","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21220","Kenya","P275","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21221","Kenya","P277","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21222","Kenya","P279","PermaNet 3.0",36,"Used last night",245,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21223","Kenya","P286","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21224","Kenya","P289","PermaNet 3.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21225","Kenya","P292","PermaNet 3.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21226","Kenya","P626","PermaNet 3.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21227","Kenya","P628","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21228","Kenya","P664","PermaNet 3.0",42,"Used last night",1572,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21229","Kenya","P666","PermaNet 3.0",48,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21230","Kenya","P667","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21231","Kenya","P667","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21232","Kenya","P669","PermaNet 3.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21233","Kenya","P672","PermaNet 3.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21234","Kenya","P673","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21235","Kenya","P673","PermaNet 3.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21236","Kenya","P681","PermaNet 3.0",6,"Used last night",23,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21237","Kenya","P691","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21238","Kenya","P692","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21239","Kenya","P692","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21240","Kenya","P698","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21241","Kenya","P698","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21242","Kenya","P698","PermaNet 3.0",18,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21243","Kenya","P699","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21244","Kenya","P699","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21245","Kenya","P699","PermaNet 3.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21246","Kenya","P705","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21247","Kenya","P709","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21248","Kenya","P710","PermaNet 3.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21249","Kenya","P712","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21250","Kenya","P713","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21251","Kenya","P717","PermaNet 3.0",24,"Used last night",33,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21252","Kenya","P719","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21253","Kenya","P721","PermaNet 3.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21254","Kenya","P723","PermaNet 3.0",36,"Used last night",49,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21255","Kenya","P728","PermaNet 3.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21256","Kenya","P730","PermaNet 3.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21257","Kenya","P730","PermaNet 3.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"21258","Kenya","P103_top","PermaNet 3.0",12,"Not used last night",NA,"No",NA,NA,NA,"",""
"21259","Kenya","P741","PermaNet 3.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"21260","Kenya","P741","PermaNet 3.0",24,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Loose"
